Index,Site,Plot,Treatment,Individual,Trecruit,Tdeath,Species,Family,Life Form,alive
27,CAR,1,open,D6,36,42,Indeterminate sp.,Indeterminate,indeterminate,1
28,CAR,1,open,D7,36,42,Acanthaceae sp.,Acanthaceae,herb,1
29,CAR,1,open,D8,42,48,Indeterminate sp.,Indeterminate,indeterminate,1
30,CAR,1,open,D8',48,84,Piper sp.,Piperaceae,herb,0
31,CAR,1,open,D9,72,84,Indeterminate sp.,Indeterminate,indeterminate,0
32,CAR,1,open,D10,78,84,Mollinedia cf.,Monimiaceae,tree,0
33,CAR,1,open,D11,78,84,Philodendron sp.,Araceae,herb,0
34,CAR,1,open,D12,78,84,Casearia cf.,Salicaceae,tree,0
35,CAR,1,open,D13,84,84,Psychotria sp.,Rubiaceae,indeterminate,0
36,CAR,1,open,H1,0,12,Euterpe edulis,Arecaceae,palm,1
37,CAR,1,open,H2,0,36,Euterpe edulis,Arecaceae,palm,1
38,CAR,1,open,H3,0,30,Guarea macrophylla,Meliaceae,tree,1
39,CAR,1,open,H4,0,6,Euterpe edulis,Arecaceae,palm,1
40,CAR,1,open,H5,0,84,Chionanthus filiformis,Oleaceae,tree,0
41,CAR,1,open,H6,0,12,Araceae sp.,Araceae,herb,1
42,CAR,1,open,H7,0,30,Sloanea guianensis,Elaeocarpaceae,tree,1
43,CAR,1,open,H8,0,66,Eugenia sp.,Myrtaceae,tree,1
44,CAR,1,open,H9,0,30,Mollinedia schottiana,Monimiaceae,tree,1
45,CAR,1,open,H10,0,12,Indeterminate sp.,Indeterminate,indeterminate,1
46,CAR,1,open,H11,24,84,Goeppertia sp.,Marantaceae,herb,0
47,CAR,1,open,H12,24,84,Goeppertia sp.,Marantaceae,herb,0
48,CAR,1,open,H13,24,84,Guarea macrophylla,Meliaceae,tree,0
49,CAR,1,open,H14,30,72,Eugenia sp.,Myrtaceae,tree,1
50,CAR,1,open,H15,30,36,Euterpe edulis,Arecaceae,palm,1
51,CAR,1,open,H16,30,42,Euterpe edulis,Arecaceae,palm,1
52,CAR,1,open,H17,48,84,Goeppertia sp.,Marantaceae,herb,0
53,CAR,1,open,H18,60,84,Indeterminate sp.,Indeterminate,indeterminate,0
54,CAR,1,open,H19,66,84,Mollinedia cf.,Monimiaceae,tree,0
55,CAR,1,open,H20,78,84,Diploon cf.,Sapotaceae,tree,0
56,CAR,1,open,H21,78,84,Guarea sp.,Meliaceae,tree,0
57,CAR,1,open,H22,78,84,Guarea sp.,Meliaceae,tree,0
58,CAR,1,close,C1,0,84,Goeppertia sp.,Marantaceae,herb,0
59,CAR,1,close,C2,0,36,Polypodiaceae sp.,Polypodiaceae,herb,1
60,CAR,1,close,C3,0,84,Guapira opposita,Nyctaginaceae,tree,0
61,CAR,1,close,C4,0,6,Indeterminate sp.,Indeterminate,indeterminate,1
62,CAR,1,close,C5,0,30,Indeterminate sp.,Indeterminate,indeterminate,1
63,CAR,1,close,C6,18,48,Euterpe edulis,Arecaceae,palm,1
64,CAR,1,close,C7,18,36,Euterpe edulis,Arecaceae,palm,1
65,CAR,1,close,C8,18,66,Euterpe edulis,Arecaceae,palm,1
66,CAR,1,close,C9,18,30,Indeterminate sp.,Indeterminate,indeterminate,1
67,CAR,1,close,C10,24,84,Philodendron sp.,Araceae,herb,0
68,CAR,1,close,C11,30,54,Euterpe edulis,Arecaceae,palm,1
69,CAR,1,close,C12,30,84,Eugenia sp.,Myrtaceae,tree,0
70,CAR,1,close,C13,36,84,Euterpe edulis,Arecaceae,palm,0
71,CAR,1,close,C14,48,60,Euterpe edulis,Arecaceae,palm,1
72,CAR,1,close,C15,48,84,Euterpe edulis,Arecaceae,palm,0
73,CAR,1,close,C16,48,84,Myrsine sp.,Primulaceae,tree,0
74,CAR,1,close,C17,54,60,Euterpe edulis,Arecaceae,palm,1
75,CAR,1,close,C18,60,84,Euterpe edulis,Arecaceae,palm,0
76,CAR,1,close,C19,60,72,Paullinia sp.,Sapindaceae,liana,1
77,CAR,1,close,C20,60,78,Paullinia sp.,Sapindaceae,liana,1
78,CAR,1,close,C21,60,84,Mollinedia cf.,Monimiaceae,tree,0
79,CAR,1,close,C22,66,72,Indeterminate sp.,Indeterminate,indeterminate,1
80,CAR,1,close,C23,72,84,Indeterminate sp.,Indeterminate,indeterminate,0
81,CAR,1,close,C24,72,84,Doliocarpus cf.,Dilleniaceae,shrub,0
82,CAR,1,close,D1,0,6,Euterpe edulis,Arecaceae,palm,1
83,CAR,1,close,D2,0,6,Araceae sp.,Araceae,herb,1
84,CAR,1,close,D3,0,6,Araceae sp.,Araceae,herb,1
85,CAR,1,close,D4,0,12,Apocynaceae sp.,Apocynaceae,liana,1
86,CAR,1,close,D5,0,30,Gomidesia spectabilis,Myrtaceae,tree,1
87,CAR,1,close,D6,6,12,Indeterminate sp.,Indeterminate,indeterminate,1
88,CAR,1,close,D7,18,30,Indeterminate sp.,Indeterminate,indeterminate,1
89,CAR,1,close,D8,18,84,Euterpe edulis,Arecaceae,palm,0
90,CAR,1,close,D9,18,36,Euterpe edulis,Arecaceae,palm,1
91,CAR,1,close,D10,24,84,Euterpe edulis,Arecaceae,palm,0
92,CAR,1,close,D11,24,30,Euterpe edulis,Arecaceae,palm,1
93,CAR,1,close,D12,24,84,Astrocaryum aculeatissimum,Arecaceae,palm,0
94,CAR,1,close,D13,24,30,Euterpe edulis,Arecaceae,palm,1
95,CAR,1,close,D14,30,36,Indeterminate sp.,Indeterminate,indeterminate,1
96,CAR,1,close,D15,36,66,Eugenia cf.,Myrtaceae,tree,1
97,CAR,1,close,D16,42,48,Indeterminate sp.,Indeterminate,indeterminate,1
98,CAR,1,close,D17,48,84,Euterpe edulis,Arecaceae,palm,0
99,CAR,1,close,D18,48,54,Euterpe edulis,Arecaceae,palm,1
100,CAR,1,close,D19,54,72,Indeterminate sp.,Indeterminate,liana,1
101,CAR,1,close,D20,60,84,Paullinia sp.,Sapindaceae,liana,0
102,CAR,1,close,D21,72,84,Myrtaceae cf.,Myrtaceae cf.,indeterminate,0
103,CAR,1,close,H1,0,18,Euterpe edulis,Arecaceae,palm,1
104,CAR,1,close,H2,0,6,Araceae sp.,Araceae,herb,1
105,CAR,1,close,H3,0,30,Araceae sp.,Araceae,herb,1
106,CAR,1,close,H4,0,84,Eugenia cuprea,Myrtaceae,tree,0
107,CAR,1,close,H5,0,84,Marlierea tomentosa,Myrtaceae,tree,0
108,CAR,1,close,H6,0,84,Sloanea guianensis,Elaeocarpaceae,tree,0
109,CAR,1,close,H7,0,84,Mollinedia schottiana,Monimiaceae,tree,0
110,CAR,1,close,H8,0,84,Philodendron sp.,Araceae,herb,0
111,CAR,1,close,H9,0,84,Chionanthus filiformis,Oleaceae,tree,0
112,CAR,1,close,H10,0,12,Araceae sp.,Araceae,herb,1
113,CAR,1,close,H11,0,30,Indeterminate sp.,Indeterminate,indeterminate,1
114,CAR,1,close,H12,0,12,Indeterminate sp.,Indeterminate,indeterminate,1
115,CAR,1,close,H13,18,54,Philodendron sp.,Araceae,herb,1
116,CAR,1,close,H14,18,36,Euterpe edulis,Arecaceae,palm,1
117,CAR,1,close,H15,18,42,Euterpe edulis,Arecaceae,palm,1
118,CAR,1,close,H16,18,66,Euterpe edulis,Arecaceae,palm,1
119,CAR,1,close,H17,18,36,Euterpe edulis,Arecaceae,palm,1
120,CAR,1,close,H18,18,42,Euterpe edulis,Arecaceae,palm,1
121,CAR,1,close,H19,24,30,Euterpe edulis,Arecaceae,palm,1
122,CAR,1,close,H20,24,84,Ocotea cf.,Lauraceae,tree,0
123,CAR,1,close,H21,24,48,Euterpe edulis,Arecaceae,palm,1
124,CAR,1,close,H23,24,42,Mollinedia schottiana,Monimiaceae,tree,1
125,CAR,1,close,H24,24,66,Mollinedia schottiana,Monimiaceae,tree,1
126,CAR,1,close,H25,24,42,Euterpe edulis,Arecaceae,palm,1
127,CAR,1,close,H26,24,84,Euterpe edulis,Arecaceae,palm,0
128,CAR,1,close,H27,24,84,Philodendron sp.,Araceae,herb,0
129,CAR,1,close,H28,30,66,Euterpe edulis,Arecaceae,palm,1
130,CAR,1,close,H29,42,54,Indeterminate sp.,Indeterminate,indeterminate,1
131,CAR,1,close,H31,48,54,Euterpe edulis,Arecaceae,palm,1
132,CAR,1,close,H32,54,78,Paullinia/Serjania sp.,Sapindaceae,liana,1
133,CAR,1,close,H33,54,84,Mollinedia cf.,Monimiaceae,tree,0
134,CAR,1,close,H34,54,84,Psychotria cf.,Rubiaceae,indeterminate,0
135,CAR,1,close,H35,54,84,Indeterminate sp.,Indeterminate,indeterminate,0
136,CAR,1,close,H36,60,84,Rubiaceae cf.,Rubiaceae cf.,indeterminate,0
137,CAR,1,close,H37,66,72,Indeterminate sp.,Indeterminate,indeterminate,1
138,CAR,1,close,H38,84,84,Mollinedia cf.,Monimiaceae,tree,0
139,CAR,2,open,C1,0,12,Eugenia cuprea,Myrtaceae,tree,1
140,CAR,2,open,C2,0,36,Euterpe edulis,Arecaceae,palm,1
141,CAR,2,open,C3,0,6,Guatteria australis,Annonaceae,tree,1
142,CAR,2,open,C4,0,12,Rubiaceae sp. 1,Rubiaceae,indeterminate,1
143,CAR,2,open,C5,0,36,Rubiaceae sp. 1,Rubiaceae,indeterminate,1
144,CAR,2,open,C6,0,12,Rubiaceae sp. 1,Rubiaceae,indeterminate,1
145,CAR,2,open,C7,0,42,Strychnos trinervis,Loganiaceae,liana,1
146,CAR,2,open,C8,0,6,Indeterminate sp.,Indeterminate,indeterminate,1
147,CAR,2,open,C9,0,24,Rubiaceae sp. 1,Rubiaceae,indeterminate,1
148,CAR,2,open,C10,0,24,Rubiaceae sp. 1,Rubiaceae,indeterminate,1
149,CAR,2,open,C11,0,60,Piper sp.,Piperaceae,herb,1
150,CAR,2,open,C12,0,84,Psychotria nuda,Rubiaceae,shrub,0
151,CAR,2,open,C13,0,84,Psychotria nuda,Rubiaceae,shrub,0
152,CAR,2,open,C14,0,12,Rubiaceae sp. 1,Rubiaceae,indeterminate,1
153,CAR,2,open,C15,0,84,Psychotria nuda,Rubiaceae,shrub,0
154,CAR,2,open,C16,0,6,Matayba guianensis,Sapindaceae,tree,1
155,CAR,2,open,C17,0,54,Psychotria nuda,Rubiaceae,shrub,1
156,CAR,2,open,C18,0,84,Psychotria nuda,Rubiaceae,shrub,0
157,CAR,2,open,C19,0,6,Rubiaceae sp. 1,Rubiaceae,indeterminate,1
158,CAR,2,open,C20,0,84,Psychotria nuda,Rubiaceae,shrub,0
159,CAR,2,open,C21,0,36,Gomidesia spectabilis,Myrtaceae,tree,1
160,CAR,2,open,C22,0,12,Rubiaceae sp. 1,Rubiaceae,indeterminate,1
161,CAR,2,open,C23,0,12,Gomidesia spectabilis,Myrtaceae,tree,1
162,CAR,2,open,C24,0,36,Psychotria nuda,Rubiaceae,shrub,1
163,CAR,2,open,C25,0,24,Rubiaceae sp. 1,Rubiaceae,indeterminate,1
164,CAR,2,open,C26,0,78,Ouratea parviflora,Ochnaceae,shrub,1
165,CAR,2,open,C27,0,84,Chionanthus filiformis,Oleaceae,tree,0
166,CAR,2,open,C28,0,12,Rubiaceae sp. 1,Rubiaceae,indeterminate,1
167,CAR,2,open,C29,0,12,Rubiaceae sp. 1,Rubiaceae,indeterminate,1
168,CAR,2,open,C30,0,12,Rubiaceae sp. 1,Rubiaceae,indeterminate,1
169,CAR,2,open,C31,0,12,Rubiaceae sp. 1,Rubiaceae,indeterminate,1
170,CAR,2,open,C32,0,84,Sloanea guianensis,Elaeocarpaceae,tree,0
171,CAR,2,open,C33,0,84,Psychotria nuda ,Rubiaceae,shrub,0
172,CAR,2,open,C34,18,36,Indeterminate sp.,Indeterminate,indeterminate,1
173,CAR,2,open,C35,24,84,Mollinedia schottiana,Monimiaceae,tree,0
174,CAR,2,open,C36,24,48,Eugenia sp.,Myrtaceae,tree,1
175,CAR,2,open,C37,24,78,Myrtaceae sp.,Myrtaceae,tree,1
176,CAR,2,open,C38,24,72,Eugenia sp.,Myrtaceae,tree,1
177,CAR,2,open,C39,24,84,Piper sp.,Piperaceae,herb,0
178,CAR,2,open,C40,30,48,Euterpe edulis,Arecaceae,palm,1
179,CAR,2,open,C41,30,84,Euterpe edulis,Arecaceae,palm,0
180,CAR,2,open,C42,36,48,Rubiaceae sp.,Rubiaceae,indeterminate,1
181,CAR,2,open,C43,42,48,Fabaceae sp.,Fabaceae,indeterminate,1
182,CAR,2,open,C44,42,60,Fabaceae sp.,Fabaceae,indeterminate,1
183,CAR,2,open,C45,42,54,Fabaceae sp.,Fabaceae,indeterminate,1
184,CAR,2,open,C46,42,66,Coccocypselum sp.,Rubiaceae,herb,1
185,CAR,2,open,C47,48,54,Fabaceae sp.,Fabaceae,indeterminate,1
186,CAR,2,open,C48,48,84,Coccocypselum sp.,Rubiaceae,herb,0
187,CAR,2,open,C49,54,84,Coccocypselum sp.,Rubiaceae,herb,0
188,CAR,2,open,C50,54,66,Acanthaceae sp.,Acanthaceae,herb,1
189,CAR,2,open,C51,54,84,Rubiaceae sp.,Rubiaceae,indeterminate,0
190,CAR,2,open,C52,54,66,Acanthaceae sp.,Acanthaceae,herb,1
191,CAR,2,open,C53,60,84,Coccocypselum sp.,Rubiaceae,herb,0
192,CAR,2,open,C54,60,84,Coccocypselum sp.,Rubiaceae,herb,0
193,CAR,2,open,C55,60,72,Coccocypselum sp.,Rubiaceae,herb,1
194,CAR,2,open,C56,72,84,Coccocypselum sp.,Rubiaceae,herb,0
195,CAR,2,open,C57,78,84,Machaerium cf.,Fabaceae,tree,0
196,CAR,2,open,C58,78,84,Machaerium cf.,Fabaceae,tree,0
197,CAR,2,open,C59,78,84,Machaerium cf.,Fabaceae,tree,0
198,CAR,2,open,C60,78,84,Indeterminate sp.,Indeterminate,indeterminate,0
199,CAR,2,open,C61,78,84,Machaerium cf.,Fabaceae,tree,0
200,CAR,2,open,C62,78,84,Machaerium cf.,Fabaceae,tree,0
201,CAR,2,open,C63,78,84,Machaerium cf.,Fabaceae,tree,0
202,CAR,2,open,C64,78,84,Machaerium cf.,Fabaceae,tree,0
203,CAR,2,open,C65,78,84,Machaerium cf.,Fabaceae,tree,0
204,CAR,2,open,C66,78,84,Machaerium cf.,Fabaceae,tree,0
205,CAR,2,open,C67,78,84,Machaerium cf.,Fabaceae,tree,0
206,CAR,2,open,C68,78,84,Machaerium cf.,Fabaceae,tree,0
207,CAR,2,open,C69,78,84,Machaerium cf.,Fabaceae,tree,0
208,CAR,2,open,C70,78,84,Machaerium cf.,Fabaceae,tree,0
209,CAR,2,open,C71,78,84,Machaerium cf.,Fabaceae,tree,0
210,CAR,2,open,C72,78,84,Coccocypselum sp.,Rubiaceae,herb,0
211,CAR,2,open,C73,78,84,Machaerium cf.,Fabaceae,tree,0
212,CAR,2,open,C74,78,84,Machaerium cf.,Fabaceae,tree,0
213,CAR,2,open,C75,78,84,Machaerium cf.,Fabaceae,tree,0
214,CAR,2,open,C76,78,84,Machaerium cf.,Fabaceae,tree,0
215,CAR,2,open,C77,84,84,Euterpe edulis,Arecaceae,palm,0
216,CAR,2,open,C78,84,84,Euterpe edulis,Arecaceae,palm,0
217,CAR,2,open,C79,84,84,Tetrastylidium cf. grandifolium,Olacaceae,tree,0
218,CAR,2,open,C80,84,84,Rubiaceae sp.,Rubiaceae,indeterminate,0
219,CAR,2,open,D1,0,84,Psychotria mapourioides,Rubiaceae,tree,0
220,CAR,2,open,D2,0,12,Rubiaceae sp. 1,Rubiaceae,indeterminate,1
221,CAR,2,open,D3,0,12,Vochysia bifalcata,Vochysiaceae,tree,1
222,CAR,2,open,D4,0,12,Psychotria nuda ,Rubiaceae,shrub,1
223,CAR,2,open,D5,0,6,Chionanthus filiformis,Oleaceae,tree,1
224,CAR,2,open,D6,0,6,Vochysia bifalcata,Vochysiaceae,tree,1
225,CAR,2,open,D7,0,72,Rubiaceae sp. 1,Rubiaceae,indeterminate,1
226,CAR,2,open,D8,0,6,Psychotria nuda ,Rubiaceae,shrub,1
227,CAR,2,open,D9,0,48,Chionanthus filiformis,Oleaceae,tree,1
228,CAR,2,open,D10,0,12,Commelinaceae sp.,Commelinaceae,herb,1
229,CAR,2,open,D11,0,12,Rubiaceae sp. 1,Rubiaceae,indeterminate,1
230,CAR,2,open,D12,0,6,Rubiaceae sp. 1,Rubiaceae,indeterminate,1
231,CAR,2,open,D13,0,36,Rubiaceae sp. 1,Rubiaceae,indeterminate,1
232,CAR,2,open,D14,0,6,Indeterminate sp.,Indeterminate,indeterminate,1
233,CAR,2,open,D15,0,12,Eugenia cuprea,Myrtaceae,tree,1
234,CAR,2,open,D16,0,12,Psychotria nuda ,Rubiaceae,shrub,1
235,CAR,2,open,D17,0,48,Mollinedia schottiana,Monimiaceae,tree,1
236,CAR,2,open,D18,0,6,Rubiaceae sp. 1,Rubiaceae,indeterminate,1
237,CAR,2,open,D19,0,12,Vochysia bifalcata,Vochysiaceae,tree,1
238,CAR,2,open,D20,0,84,Psychotria nuda ,Rubiaceae,shrub,0
239,CAR,2,open,D21,0,12,Rubiaceae sp. 1,Rubiaceae,indeterminate,1
240,CAR,2,open,D22,0,6,Chionanthus filiformis,Oleaceae,tree,1
241,CAR,2,open,D23,0,6,Eugenia sp.,Myrtaceae,tree,1
242,CAR,2,open,D24,6,12,Indeterminate sp.,Indeterminate,indeterminate,1
243,CAR,2,open,D25,18,84,Rubiaceae sp.,Rubiaceae,indeterminate,0
244,CAR,2,open,D26,24,36,Rubiaceae sp.,Rubiaceae,indeterminate,1
245,CAR,2,open,D27,24,84,Philodendron sp.,Araceae,herb,0
246,CAR,2,open,D28,24,84,Sloanea guianensis,Elaeocarpaceae,tree,0
247,CAR,2,open,D29,24,66,Eugenia sp.,Myrtaceae,tree,1
248,CAR,2,open,D30,24,36,Indeterminate sp.,Indeterminate,indeterminate,1
249,CAR,2,open,D31,30,78,Rubiaceae cf.,Coccocypselum cf.,herb,1
250,CAR,2,open,D32,30,54,Indeterminate sp.,Indeterminate,indeterminate,1
251,CAR,2,open,D33,30,84,Rubiaceae sp.,Rubiaceae,indeterminate,0
252,CAR,2,open,D34,30,54,Acanthaceae sp.,Acanthaceae,herb,1
253,CAR,2,open,D35,30,84,Goeppertia sp.,Marantaceae,herb,0
254,CAR,2,open,D36,36,84,Ouratea sp.,Ochnaceae,shrub,0
255,CAR,2,open,D37,36,84,Psychotria sp.,Rubiaceae,indeterminate,0
256,CAR,2,open,D38,36,84,Strychnos sp.,Loganiaceae,indeterminate,0
257,CAR,2,open,D39,42,84,Philodendron sp.,Araceae,herb,0
258,CAR,2,open,D40,42,84,Psychotria cf.,Rubiaceae,indeterminate,0
259,CAR,2,open,D41,48,54,Fabaceae sp.,Fabaceae,indeterminate,1
260,CAR,2,open,D42,48,84,Coccocypselum sp.,Rubiaceae,herb,0
261,CAR,2,open,D43,48,84,Coccocypselum sp.,Rubiaceae,herb,0
262,CAR,2,open,D44,48,84,Coccocypselum sp.,Rubiaceae,herb,0
263,CAR,2,open,D45,54,60,Coccocypselum sp.,Rubiaceae,herb,1
264,CAR,2,open,D46,54,84,Psychotria cf.,Rubiaceae,indeterminate,0
265,CAR,2,open,D47,72,84,Coccocypselum sp.,Rubiaceae,herb,0
266,CAR,2,open,D48,78,84,Machaerium cf.,Fabaceae,tree,0
267,CAR,2,open,D49,78,84,Machaerium cf.,Fabaceae,tree,0
268,CAR,2,open,D50,78,84,Machaerium cf.,Fabaceae,tree,0
269,CAR,2,open,D51,78,84,Rubiaceae sp.,Rubiaceae,indeterminate,0
270,CAR,2,open,D52,78,84,Machaerium cf.,Fabaceae,tree,0
271,CAR,2,open,D53,72,84,Machaerium cf.,Fabaceae,tree,0
272,CAR,2,open,D54,72,84,Machaerium cf.,Fabaceae,tree,0
273,CAR,2,open,D55,72,84,Machaerium cf.,Fabaceae,tree,0
274,CAR,2,open,D56,72,84,Machaerium cf.,Fabaceae,tree,0
275,CAR,2,open,D57,84,84,Indeterminate sp.,Indeterminate,indeterminate,0
276,CAR,2,open,D58,84,84,Indeterminate sp.,Indeterminate,indeterminate,0
277,CAR,2,open,D59,84,84,Coccocypselum sp.,Rubiaceae,herb,0
278,CAR,2,open,D60,84,84,Myrsine sp.,Primulaceae,tree,0
279,CAR,2,open,D61,78,84,Indeterminate sp.,Indeterminate,indeterminate,0
280,CAR,2,open,H1,0,6,Eugenia cuprea,Myrtaceae,tree,1
281,CAR,2,open,H2,0,36,Sloanea guianensis,Elaeocarpaceae,tree,1
282,CAR,2,open,H3,0,84,Polypodiaceae sp.,Polypodiaceae,herb,0
283,CAR,2,open,H4,0,6,Euterpe edulis,Arecaceae,palm,1
284,CAR,2,open,H5,0,84,Goeppertia sp.,Marantaceae,herb,0
285,CAR,2,open,H6,0,84,Acanthaceae sp.,Acanthaceae,herb,0
286,CAR,2,open,H7,0,36,Rubiaceae sp. 1,Rubiaceae,indeterminate,1
287,CAR,2,open,H8,0,84,Guarea macrophylla,Meliaceae,tree,0
288,CAR,2,open,H9,6,12,Indeterminate sp.,Indeterminate,indeterminate,1
289,CAR,2,open,H10,6,84,Goeppertia sp.,Marantaceae,herb,0
290,CAR,2,open,H11,18,24,Euterpe edulis,Arecaceae,palm,1
291,CAR,2,open,H12,18,30,Goeppertia sp.,Marantaceae,herb,1
292,CAR,2,open,H13,24,84,Psychotria nuda ,Rubiaceae,shrub,0
293,CAR,2,open,H14,30,48,Eugenia sp.,Myrtaceae,tree,1
294,CAR,2,open,H15,30,54,Acanthaceae sp.,Acanthaceae,herb,1
295,CAR,2,open,H16,30,84,Eugenia sp.,Myrtaceae,tree,0
296,CAR,2,open,H17,42,60,Araceae sp. 1,Araceae,herb,1
297,CAR,2,open,H18,48,54,Fabaceae sp.,Fabaceae,indeterminate,1
298,CAR,2,open,H19,48,84,Eugenia cf.,Myrtaceae,tree,0
299,CAR,2,open,H20,60,84,Coccocypselum sp.,Rubiaceae,herb,0
300,CAR,2,open,H21,78,84,Machaerium cf.,Fabaceae,tree,0
301,CAR,2,open,H22,78,84,Machaerium cf.,Fabaceae,tree,0
302,CAR,2,open,H23,78,84,Machaerium cf.,Fabaceae,tree,0
303,CAR,2,open,H24,78,84,Machaerium cf.,Fabaceae,tree,0
304,CAR,2,open,H25,78,84,Machaerium cf.,Fabaceae,tree,0
305,CAR,2,open,H26,72,84,Machaerium cf.,Fabaceae,tree,0
306,CAR,2,open,H27,72,84,Machaerium cf.,Fabaceae,tree,0
307,CAR,2,open,H28,72,84,Machaerium cf.,Fabaceae,tree,0
308,CAR,2,open,H29,72,84,Machaerium cf.,Fabaceae,tree,0
309,CAR,2,open,H30,72,84,Machaerium cf.,Fabaceae,tree,0
310,CAR,2,open,H31,72,84,Machaerium cf.,Fabaceae,tree,0
311,CAR,2,open,H32,72,84,Machaerium cf.,Fabaceae,tree,0
312,CAR,2,open,H33,72,84,Machaerium cf.,Fabaceae,tree,0
313,CAR,2,open,H34,72,84,Machaerium cf.,Fabaceae,tree,0
314,CAR,2,open,H35,72,84,Machaerium cf.,Fabaceae,tree,0
315,CAR,2,open,H36,72,84,Machaerium cf.,Fabaceae,tree,0
316,CAR,2,open,H37,84,84,Philodendron sp.,Araceae,herb,0
317,CAR,2,close,C1,48,84,Ouratea parviflora,Ochnaceae,shrub,0
318,CAR,2,close,C2,0,36,Mollinedia schottiana,Monimiaceae,tree,1
319,CAR,2,close,C3,0,84,Sloanea guianensis,Elaeocarpaceae,tree,0
320,CAR,2,close,C4,0,66,Eugenia sp.,Myrtaceae,tree,1
321,CAR,2,close,C5,0,84,Ouratea parviflora,Ochnaceae,shrub,0
322,CAR,2,close,C6,0,84,Sloanea guianensis,Elaeocarpaceae,tree,0
323,CAR,2,close,C7,0,6,Indeterminate sp.,Indeterminate,indeterminate,1
324,CAR,2,close,C8,0,84,Goeppertia sp.,Marantaceae,herb,0
325,CAR,2,close,C9,0,48,Guapira opposita,Nyctaginaceae,tree,1
326,CAR,2,close,C10,0,12,Acanthaceae sp.,Acanthaceae,herb,1
327,CAR,2,close,C11,0,6,Indeterminate sp.,Indeterminate,indeterminate,1
328,CAR,2,close,C12,0,12,Indeterminate sp.,Indeterminate,indeterminate,1
329,CAR,2,close,C13,18,48,Acanthaceae sp.,Acanthaceae,herb,1
330,CAR,2,close,C14,18,84,Mollinedia schottiana,Monimiaceae,tree,0
331,CAR,2,close,C15,24,66,Ocotea dispersa,Lauraceae,tree,1
332,CAR,2,close,C16,24,36,Eugenia sp.,Myrtaceae,tree,1
333,CAR,2,close,C17,30,66,Strychnos trinervis,Loganiaceae,liana,1
334,CAR,2,close,C19,30,66,Strychnos sp.,Loganiaceae,indeterminate,1
335,CAR,2,close,C20,42,84,Ouratea parviflora,Ochnaceae,shrub,0
336,CAR,2,close,C21,48,84,Strychnos sp.,Loganiaceae,indeterminate,0
337,CAR,2,close,C22,48,84,Acanthaceae sp.,Acanthaceae,herb,0
338,CAR,2,close,C23,48,54,Fabaceae sp.,Fabaceae,indeterminate,1
339,CAR,2,close,C24,54,66,Lauraceae sp.,Lauraceae,tree,1
340,CAR,2,close,C25,78,84,Machaerium cf.,Fabaceae,tree,0
341,CAR,2,close,C26,78,84,Machaerium cf.,Fabaceae,tree,0
342,CAR,2,close,C27,78,84,Machaerium cf.,Fabaceae,tree,0
343,CAR,2,close,C28,78,84,Machaerium cf.,Fabaceae,tree,0
344,CAR,2,close,C29,78,84,Machaerium cf.,Fabaceae,tree,0
345,CAR,2,close,C30,78,84,Machaerium cf.,Fabaceae,tree,0
346,CAR,2,close,C31,78,84,Machaerium cf.,Fabaceae,tree,0
