life_form,frequence,time,treatment,,frequence_herb_close,frequencepct_herb_close,Period,frequence_herb_open,frequencepct_herb_open,,frequence_liana_close,frequencepct_liana_close,Period,frequencepct_liana_open,frequence_liana_open,,frequence_trees_close,frequencepct_trees_close,Period,frequencepct_trees_open,frequence_trees_open,,frequence_palm_close,frequencepct_palm_close,Period,frequencepct_palm_open,frequence_palm_open,,frequence_bamboo_close,frequencepct_bamboo_close,Period,frequencepct_bamboo_open,frequence_bamboo_open,,frequence_total_close,frequencepct_total_close,Period,frequencepct_total_open,frequence_total_open
liana,27,48,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liana,11,72,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liana,41,84,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liana,79,0,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liana,58,12,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liana,25,24,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liana,13,48,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liana,4,72,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liana,17,84,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tree,138,0,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tree,251,12,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tree,216,24,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tree,220,48,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tree,87,72,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tree,365,84,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tree,140,0,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tree,301,12,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tree,169,24,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tree,113,48,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tree,68,72,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tree,193,84,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palm,160,0,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palm,337,12,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palm,183,24,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palm,94,48,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palm,66,72,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palm,82,84,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palm,197,0,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palm,345,12,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palm,120,24,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palm,58,48,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palm,23,72,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palm,44,84,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bamboo,5,0,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bamboo,32,12,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bamboo,18,24,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bamboo,17,48,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bamboo,8,72,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bamboo,24,84,close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bamboo,14,0,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bamboo,26,12,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bamboo,11,24,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bamboo,11,48,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bamboo,10,72,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bamboo,17,84,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
