Site,Treatment,Plot,PlotID,Species,species_new,Abundances,Month,Time
CAR,closed,1,CAR_closed_1_T24,Euterpe edulis,Euterpe edulis,17,T24,NA
CAR,closed,1,CAR_closed_1_T24,Guapira opposita,Guapira opposita,1,T24,NA
CAR,closed,1,CAR_closed_1_T24,Marlierea strigipes,Marlierea strigipes,1,T24,NA
CAR,closed,1,CAR_closed_1_T24,Mollinedia schottiana,Mollinedia schottiana,3,T24,NA
CAR,closed,1,CAR_closed_1_T24,Sloanea guianensis,Sloanea guianensis,1,T24,NA
CAR,closed,1,CAR_closed_1_T30,Astrocaryum aculeatissimum,Astrocaryum aculeatissimum,1,T30,NA
CAR,closed,1,CAR_closed_1_T30,Chionanthus filiformis,Chionanthus filiformis,1,T30,NA
CAR,closed,1,CAR_closed_1_T30,Eugenia cuprea,Eugenia cuprea,1,T30,NA
CAR,closed,1,CAR_closed_1_T30,Euterpe edulis,Euterpe edulis,16,T30,NA
CAR,closed,1,CAR_closed_1_T30,Guapira opposita,Guapira opposita,1,T30,NA
CAR,closed,1,CAR_closed_1_T30,Marlierea strigipes,Marlierea strigipes,1,T30,NA
CAR,closed,1,CAR_closed_1_T30,Mollinedia schottiana,Mollinedia schottiana,3,T30,NA
CAR,closed,1,CAR_closed_1_T30,Sloanea guianensis,Sloanea guianensis,1,T30,NA
CAR,closed,1,CAR_closed_1_T36,Astrocaryum aculeatissimum,Astrocaryum aculeatissimum,1,T36,NA
CAR,closed,1,CAR_closed_1_T36,Chionanthus filiformis,Chionanthus filiformis,1,T36,NA
CAR,closed,1,CAR_closed_1_T36,Eugenia cuprea,Eugenia cuprea,1,T36,NA
CAR,closed,1,CAR_closed_1_T36,Euterpe edulis,Euterpe edulis,13,T36,NA
CAR,closed,1,CAR_closed_1_T36,Guapira opposita,Guapira opposita,1,T36,NA
CAR,closed,1,CAR_closed_1_T36,Marlierea strigipes,Marlierea strigipes,1,T36,NA
CAR,closed,1,CAR_closed_1_T36,Mollinedia schottiana,Mollinedia schottiana,3,T36,NA
CAR,closed,1,CAR_closed_1_T36,Sloanea guianensis,Sloanea guianensis,1,T36,NA
CAR,closed,1,CAR_closed_1_T42,Astrocaryum aculeatissimum,Astrocaryum aculeatissimum,1,T42,NA
CAR,closed,1,CAR_closed_1_T42,Chionanthus filiformis,Chionanthus filiformis,1,T42,NA
CAR,closed,1,CAR_closed_1_T42,Eugenia cuprea,Eugenia cuprea,1,T42,NA
CAR,closed,1,CAR_closed_1_T42,Euterpe edulis,Euterpe edulis,10,T42,NA
CAR,closed,1,CAR_closed_1_T42,Guapira opposita,Guapira opposita,1,T42,NA
CAR,closed,1,CAR_closed_1_T42,Marlierea strigipes,Marlierea strigipes,1,T42,NA
CAR,closed,1,CAR_closed_1_T42,Mollinedia schottiana,Mollinedia schottiana,2,T42,NA
CAR,closed,1,CAR_closed_1_T42,Sloanea guianensis,Sloanea guianensis,1,T42,NA
CAR,closed,1,CAR_closed_1_T48,Astrocaryum aculeatissimum,Astrocaryum aculeatissimum,1,T48,NA
CAR,closed,1,CAR_closed_1_T48,Chionanthus filiformis,Chionanthus filiformis,1,T48,NA
CAR,closed,1,CAR_closed_1_T48,Eugenia cuprea,Eugenia cuprea,1,T48,NA
CAR,closed,1,CAR_closed_1_T48,Euterpe edulis,Euterpe edulis,13,T48,NA
CAR,closed,1,CAR_closed_1_T48,Guapira opposita,Guapira opposita,1,T48,NA
CAR,closed,1,CAR_closed_1_T48,Marlierea strigipes,Marlierea strigipes,1,T48,NA
CAR,closed,1,CAR_closed_1_T48,Mollinedia schottiana,Mollinedia schottiana,2,T48,NA
CAR,closed,1,CAR_closed_1_T48,Sloanea guianensis,Sloanea guianensis,1,T48,NA
CAR,closed,1,CAR_closed_1_T54,Astrocaryum aculeatissimum,Astrocaryum aculeatissimum,1,T54,NA
CAR,closed,1,CAR_closed_1_T54,Chionanthus filiformis,Chionanthus filiformis,1,T54,NA
CAR,closed,1,CAR_closed_1_T54,Eugenia cuprea,Eugenia cuprea,1,T54,NA
CAR,closed,1,CAR_closed_1_T54,Euterpe edulis,Euterpe edulis,11,T54,NA
CAR,closed,1,CAR_closed_1_T54,Guapira opposita,Guapira opposita,1,T54,NA
CAR,closed,1,CAR_closed_1_T54,Marlierea strigipes,Marlierea strigipes,1,T54,NA
CAR,closed,1,CAR_closed_1_T54,Mollinedia schottiana,Mollinedia schottiana,2,T54,NA
CAR,closed,1,CAR_closed_1_T54,Sloanea guianensis,Sloanea guianensis,1,T54,NA
CAR,closed,1,CAR_closed_1_T6,Astrocaryum aculeatissimum,Astrocaryum aculeatissimum,0,T6,NA
CAR,closed,1,CAR_closed_1_T6,Chionanthus filiformis,Chionanthus filiformis,1,T6,NA
CAR,closed,1,CAR_closed_1_T6,Eugenia cuprea,Eugenia cuprea,1,T6,NA
CAR,closed,1,CAR_closed_1_T6,Euterpe edulis,Euterpe edulis,1,T6,NA
CAR,closed,1,CAR_closed_1_T6,Guapira opposita,Guapira opposita,1,T6,NA
CAR,closed,1,CAR_closed_1_T6,Marlierea strigipes,Marlierea strigipes,1,T6,NA
CAR,closed,1,CAR_closed_1_T6,Mollinedia schottiana,Mollinedia schottiana,1,T6,NA
CAR,closed,1,CAR_closed_1_T6,Sloanea guianensis,Sloanea guianensis,1,T6,NA
CAR,closed,1,CAR_closed_1_T60,Astrocaryum aculeatissimum,Astrocaryum aculeatissimum,1,T60,NA
CAR,closed,1,CAR_closed_1_T60,Chionanthus filiformis,Chionanthus filiformis,1,T60,NA
CAR,closed,1,CAR_closed_1_T60,Eugenia cuprea,Eugenia cuprea,1,T60,NA
CAR,closed,1,CAR_closed_1_T60,Euterpe edulis,Euterpe edulis,10,T60,NA
CAR,closed,1,CAR_closed_1_T60,Guapira opposita,Guapira opposita,1,T60,NA
CAR,closed,1,CAR_closed_1_T60,Marlierea strigipes,Marlierea strigipes,1,T60,NA
CAR,closed,1,CAR_closed_1_T60,Mollinedia schottiana,Mollinedia schottiana,2,T60,NA
CAR,closed,1,CAR_closed_1_T60,Sloanea guianensis,Sloanea guianensis,1,T60,NA
CAR,closed,1,CAR_closed_1_T66,Astrocaryum aculeatissimum,Astrocaryum aculeatissimum,1,T66,NA
CAR,closed,1,CAR_closed_1_T66,Chionanthus filiformis,Chionanthus filiformis,1,T66,NA
CAR,closed,1,CAR_closed_1_T66,Eugenia cuprea,Eugenia cuprea,1,T66,NA
CAR,closed,1,CAR_closed_1_T66,Euterpe edulis,Euterpe edulis,7,T66,NA
CAR,closed,1,CAR_closed_1_T66,Guapira opposita,Guapira opposita,1,T66,NA
CAR,closed,1,CAR_closed_1_T66,Marlierea strigipes,Marlierea strigipes,1,T66,NA
CAR,closed,1,CAR_closed_1_T66,Mollinedia schottiana,Mollinedia schottiana,1,T66,NA
CAR,closed,1,CAR_closed_1_T66,Sloanea guianensis,Sloanea guianensis,1,T66,NA
CAR,closed,1,CAR_closed_1_T72,Astrocaryum aculeatissimum,Astrocaryum aculeatissimum,1,T72,NA
CAR,closed,1,CAR_closed_1_T72,Chionanthus filiformis,Chionanthus filiformis,1,T72,NA
CAR,closed,1,CAR_closed_1_T72,Eugenia cuprea,Eugenia cuprea,1,T72,NA
CAR,closed,1,CAR_closed_1_T72,Euterpe edulis,Euterpe edulis,7,T72,NA
CAR,closed,1,CAR_closed_1_T72,Guapira opposita,Guapira opposita,1,T72,NA
CAR,closed,1,CAR_closed_1_T72,Marlierea strigipes,Marlierea strigipes,1,T72,NA
CAR,closed,1,CAR_closed_1_T72,Mollinedia schottiana,Mollinedia schottiana,1,T72,NA
CAR,closed,1,CAR_closed_1_T72,Sloanea guianensis,Sloanea guianensis,1,T72,NA
CAR,closed,1,CAR_closed_1_T78,Astrocaryum aculeatissimum,Astrocaryum aculeatissimum,1,T78,NA
CAR,closed,1,CAR_closed_1_T78,Chionanthus filiformis,Chionanthus filiformis,1,T78,NA
CAR,closed,1,CAR_closed_1_T78,Eugenia cuprea,Eugenia cuprea,1,T78,NA
CAR,closed,1,CAR_closed_1_T78,Euterpe edulis,Euterpe edulis,7,T78,NA
CAR,closed,1,CAR_closed_1_T78,Guapira opposita,Guapira opposita,1,T78,NA
CAR,closed,1,CAR_closed_1_T78,Marlierea strigipes,Marlierea strigipes,1,T78,NA
CAR,closed,1,CAR_closed_1_T78,Mollinedia schottiana,Mollinedia schottiana,1,T78,NA
CAR,closed,1,CAR_closed_1_T78,Sloanea guianensis,Sloanea guianensis,1,T78,NA
CAR,closed,1,CAR_closed_1_T84,Astrocaryum aculeatissimum,Astrocaryum aculeatissimum,1,T84,NA
CAR,closed,1,CAR_closed_1_T84,Chionanthus filiformis,Chionanthus filiformis,1,T84,NA
CAR,closed,1,CAR_closed_1_T84,Eugenia cuprea,Eugenia cuprea,1,T84,NA
CAR,closed,1,CAR_closed_1_T84,Euterpe edulis,Euterpe edulis,5,T84,NA
CAR,closed,1,CAR_closed_1_T84,Guapira opposita,Guapira opposita,1,T84,NA
CAR,closed,1,CAR_closed_1_T84,Marlierea strigipes,Marlierea strigipes,1,T84,NA
CAR,closed,1,CAR_closed_1_T84,Mollinedia schottiana,Mollinedia schottiana,1,T84,NA
CAR,closed,1,CAR_closed_1_T84,Sloanea guianensis,Sloanea guianensis,1,T84,NA
CAR,closed,1,CAR_closed_1_T90,Astrocaryum aculeatissimum,Astrocaryum aculeatissimum,1,T90,NA
CAR,closed,1,CAR_closed_1_T90,Chionanthus filiformis,Chionanthus filiformis,1,T90,NA
CAR,closed,1,CAR_closed_1_T90,Eugenia cuprea,Eugenia cuprea,1,T90,NA
CAR,closed,1,CAR_closed_1_T90,Euterpe edulis,Euterpe edulis,5,T90,NA
CAR,closed,1,CAR_closed_1_T90,Guapira opposita,Guapira opposita,1,T90,NA
CAR,closed,1,CAR_closed_1_T90,Marlierea strigipes,Marlierea strigipes,1,T90,NA
CAR,closed,1,CAR_closed_1_T90,Mollinedia schottiana,Mollinedia schottiana,1,T90,NA
CAR,closed,1,CAR_closed_1_T90,Sloanea guianensis,Sloanea guianensis,1,T90,NA
CAR,closed,1,CAR_closed_1_T96,Astrocaryum aculeatissimum,Astrocaryum aculeatissimum,1,T96,NA
CAR,closed,1,CAR_closed_1_T96,Chionanthus filiformis,Chionanthus filiformis,1,T96,NA
CAR,closed,1,CAR_closed_1_T96,Eugenia cuprea,Eugenia cuprea,1,T96,NA
CAR,closed,1,CAR_closed_1_T96,Euterpe edulis,Euterpe edulis,5,T96,NA
CAR,closed,1,CAR_closed_1_T96,Guapira opposita,Guapira opposita,1,T96,NA
CAR,closed,1,CAR_closed_1_T96,Marlierea strigipes,Marlierea strigipes,1,T96,NA
CAR,closed,1,CAR_closed_1_T96,Mollinedia schottiana,Mollinedia schottiana,1,T96,NA
CAR,closed,1,CAR_closed_1_T96,Sloanea guianensis,Sloanea guianensis,1,T96,NA
CAR,closed,2,CAR_closed_2_T0,Eugenia cuprea,Eugenia cuprea,1,T0,NA
CAR,closed,2,CAR_closed_2_T0,Euterpe edulis,Euterpe edulis,1,T0,NA
CAR,closed,2,CAR_closed_2_T0,Guapira opposita,Guapira opposita,1,T0,NA
CAR,closed,2,CAR_closed_2_T0,Inga edulis,Inga edulis,1,T0,NA
CAR,closed,2,CAR_closed_2_T0,Lacistema pubescens,Lacistema pubescens,1,T0,NA
CAR,closed,2,CAR_closed_2_T0,Marlierea obscura,Marlierea obscura,1,T0,NA
CAR,closed,2,CAR_closed_2_T0,Matayba guianensis,Matayba guianensis,1,T0,NA
CAR,closed,2,CAR_closed_2_T0,Maytenus robusta,Maytenus robusta,1,T0,NA
CAR,closed,2,CAR_closed_2_T0,Metrodorea nigra,Metrodorea nigra,1,T0,NA
CAR,closed,2,CAR_closed_2_T0,Mollinedia schottiana,Mollinedia schottiana,1,T0,NA
CAR,closed,2,CAR_closed_2_T0,Ouratea parviflora,Ouratea parviflora,2,T0,NA
CAR,closed,2,CAR_closed_2_T0,Sloanea guianensis,Sloanea guianensis,3,T0,NA
CAR,closed,2,CAR_closed_2_T0,Strychnos trinervis,Strychnos trinervis,0,T0,NA
CAR,closed,2,CAR_closed_2_T0,Virola bicuhyba,Virola bicuhyba,0,T0,NA
CAR,closed,2,CAR_closed_2_T0,Virola gardneri,Virola gardneri,1,T0,NA
CAR,closed,2,CAR_closed_2_T12,Eugenia cuprea,Eugenia cuprea,1,T12,NA
CAR,closed,2,CAR_closed_2_T12,Euterpe edulis,Euterpe edulis,0,T12,NA
CAR,closed,2,CAR_closed_2_T12,Guapira opposita,Guapira opposita,1,T12,NA
CAR,closed,2,CAR_closed_2_T12,Inga edulis,Inga edulis,1,T12,NA
CAR,closed,2,CAR_closed_2_T12,Lacistema pubescens,Lacistema pubescens,1,T12,NA
CAR,closed,2,CAR_closed_2_T12,Marlierea obscura,Marlierea obscura,1,T12,NA
CAR,closed,2,CAR_closed_2_T12,Matayba guianensis,Matayba guianensis,1,T12,NA
CAR,closed,2,CAR_closed_2_T12,Maytenus robusta,Maytenus robusta,1,T12,NA
CAR,closed,2,CAR_closed_2_T12,Metrodorea nigra,Metrodorea nigra,1,T12,NA
CAR,closed,2,CAR_closed_2_T12,Mollinedia schottiana,Mollinedia schottiana,1,T12,NA
CAR,closed,2,CAR_closed_2_T12,Ouratea parviflora,Ouratea parviflora,2,T12,NA
CAR,closed,2,CAR_closed_2_T12,Sloanea guianensis,Sloanea guianensis,3,T12,NA
CAR,closed,2,CAR_closed_2_T12,Strychnos trinervis,Strychnos trinervis,0,T12,NA
CAR,closed,2,CAR_closed_2_T12,Virola bicuhyba,Virola bicuhyba,0,T12,NA
CAR,closed,2,CAR_closed_2_T12,Virola gardneri,Virola gardneri,1,T12,NA
CAR,closed,2,CAR_closed_2_T18,Eugenia cuprea,Eugenia cuprea,1,T18,NA
CAR,closed,2,CAR_closed_2_T18,Euterpe edulis,Euterpe edulis,1,T18,NA
CAR,closed,2,CAR_closed_2_T18,Guapira opposita,Guapira opposita,1,T18,NA
CAR,closed,2,CAR_closed_2_T18,Inga edulis,Inga edulis,1,T18,NA
CAR,closed,2,CAR_closed_2_T18,Lacistema pubescens,Lacistema pubescens,1,T18,NA
CAR,closed,2,CAR_closed_2_T18,Marlierea obscura,Marlierea obscura,1,T18,NA
CAR,closed,2,CAR_closed_2_T18,Matayba guianensis,Matayba guianensis,1,T18,NA
CAR,closed,2,CAR_closed_2_T18,Maytenus robusta,Maytenus robusta,1,T18,NA
CAR,closed,2,CAR_closed_2_T18,Metrodorea nigra,Metrodorea nigra,1,T18,NA
CAR,closed,2,CAR_closed_2_T18,Mollinedia schottiana,Mollinedia schottiana,2,T18,NA
CAR,closed,2,CAR_closed_2_T18,Ouratea parviflora,Ouratea parviflora,2,T18,NA
CAR,closed,2,CAR_closed_2_T18,Sloanea guianensis,Sloanea guianensis,3,T18,NA
CAR,closed,2,CAR_closed_2_T18,Strychnos trinervis,Strychnos trinervis,0,T18,NA
CAR,closed,2,CAR_closed_2_T18,Virola bicuhyba,Virola bicuhyba,1,T18,NA
CAR,closed,2,CAR_closed_2_T18,Virola gardneri,Virola gardneri,1,T18,NA
CAR,closed,2,CAR_closed_2_T24,Eugenia cuprea,Eugenia cuprea,1,T24,NA
CAR,closed,2,CAR_closed_2_T24,Euterpe edulis,Euterpe edulis,2,T24,NA
CAR,closed,2,CAR_closed_2_T24,Guapira opposita,Guapira opposita,1,T24,NA
CAR,closed,2,CAR_closed_2_T24,Inga edulis,Inga edulis,1,T24,NA
CAR,closed,2,CAR_closed_2_T24,Lacistema pubescens,Lacistema pubescens,1,T24,NA
CAR,closed,2,CAR_closed_2_T24,Marlierea obscura,Marlierea obscura,1,T24,NA
CAR,closed,2,CAR_closed_2_T24,Matayba guianensis,Matayba guianensis,1,T24,NA
CAR,closed,2,CAR_closed_2_T24,Maytenus robusta,Maytenus robusta,1,T24,NA
CAR,closed,2,CAR_closed_2_T24,Metrodorea nigra,Metrodorea nigra,0,T24,NA
CAR,closed,2,CAR_closed_2_T24,Mollinedia schottiana,Mollinedia schottiana,2,T24,NA
CAR,closed,2,CAR_closed_2_T24,Ouratea parviflora,Ouratea parviflora,2,T24,NA
CAR,closed,2,CAR_closed_2_T24,Sloanea guianensis,Sloanea guianensis,3,T24,NA
CAR,closed,2,CAR_closed_2_T24,Strychnos trinervis,Strychnos trinervis,0,T24,NA
CAR,closed,2,CAR_closed_2_T24,Virola bicuhyba,Virola bicuhyba,1,T24,NA
CAR,closed,2,CAR_closed_2_T24,Virola gardneri,Virola gardneri,1,T24,NA
CAR,closed,2,CAR_closed_2_T30,Eugenia cuprea,Eugenia cuprea,1,T30,NA
CAR,closed,2,CAR_closed_2_T30,Euterpe edulis,Euterpe edulis,0,T30,NA
CAR,closed,2,CAR_closed_2_T30,Guapira opposita,Guapira opposita,1,T30,NA
CAR,closed,2,CAR_closed_2_T30,Inga edulis,Inga edulis,1,T30,NA
CAR,closed,2,CAR_closed_2_T30,Lacistema pubescens,Lacistema pubescens,1,T30,NA
CAR,closed,2,CAR_closed_2_T30,Marlierea obscura,Marlierea obscura,1,T30,NA
CAR,closed,2,CAR_closed_2_T30,Matayba guianensis,Matayba guianensis,1,T30,NA
CAR,closed,2,CAR_closed_2_T30,Maytenus robusta,Maytenus robusta,1,T30,NA
CAR,closed,2,CAR_closed_2_T30,Metrodorea nigra,Metrodorea nigra,0,T30,NA
CAR,closed,2,CAR_closed_2_T30,Mollinedia schottiana,Mollinedia schottiana,2,T30,NA
CAR,closed,2,CAR_closed_2_T30,Ouratea parviflora,Ouratea parviflora,2,T30,NA
CAR,closed,2,CAR_closed_2_T30,Sloanea guianensis,Sloanea guianensis,3,T30,NA
CAR,closed,2,CAR_closed_2_T30,Strychnos trinervis,Strychnos trinervis,1,T30,NA
CAR,closed,2,CAR_closed_2_T30,Virola bicuhyba,Virola bicuhyba,1,T30,NA
CAR,closed,2,CAR_closed_2_T30,Virola gardneri,Virola gardneri,1,T30,NA
CAR,closed,2,CAR_closed_2_T36,Eugenia cuprea,Eugenia cuprea,1,T36,NA
CAR,closed,2,CAR_closed_2_T36,Euterpe edulis,Euterpe edulis,0,T36,NA
CAR,closed,2,CAR_closed_2_T36,Guapira opposita,Guapira opposita,1,T36,NA
CAR,closed,2,CAR_closed_2_T36,Inga edulis,Inga edulis,1,T36,NA
CAR,closed,2,CAR_closed_2_T36,Lacistema pubescens,Lacistema pubescens,1,T36,NA
CAR,closed,2,CAR_closed_2_T36,Marlierea obscura,Marlierea obscura,1,T36,NA
CAR,closed,2,CAR_closed_2_T36,Matayba guianensis,Matayba guianensis,1,T36,NA
CAR,closed,2,CAR_closed_2_T36,Maytenus robusta,Maytenus robusta,1,T36,NA
CAR,closed,2,CAR_closed_2_T36,Metrodorea nigra,Metrodorea nigra,0,T36,NA
CAR,closed,2,CAR_closed_2_T36,Mollinedia schottiana,Mollinedia schottiana,1,T36,NA
CAR,closed,2,CAR_closed_2_T36,Ouratea parviflora,Ouratea parviflora,2,T36,NA
CAR,closed,2,CAR_closed_2_T36,Sloanea guianensis,Sloanea guianensis,3,T36,NA
CAR,closed,2,CAR_closed_2_T36,Strychnos trinervis,Strychnos trinervis,1,T36,NA
CAR,closed,2,CAR_closed_2_T36,Virola bicuhyba,Virola bicuhyba,1,T36,NA
CAR,closed,2,CAR_closed_2_T36,Virola gardneri,Virola gardneri,1,T36,NA
CAR,closed,2,CAR_closed_2_T42,Eugenia cuprea,Eugenia cuprea,1,T42,NA
CAR,closed,2,CAR_closed_2_T42,Euterpe edulis,Euterpe edulis,0,T42,NA
CAR,closed,2,CAR_closed_2_T42,Guapira opposita,Guapira opposita,1,T42,NA
CAR,closed,2,CAR_closed_2_T42,Inga edulis,Inga edulis,1,T42,NA
CAR,closed,2,CAR_closed_2_T42,Lacistema pubescens,Lacistema pubescens,1,T42,NA
CAR,closed,2,CAR_closed_2_T42,Marlierea obscura,Marlierea obscura,1,T42,NA
CAR,closed,2,CAR_closed_2_T42,Matayba guianensis,Matayba guianensis,1,T42,NA
CAR,closed,2,CAR_closed_2_T42,Maytenus robusta,Maytenus robusta,1,T42,NA
CAR,closed,2,CAR_closed_2_T42,Metrodorea nigra,Metrodorea nigra,0,T42,NA
CAR,closed,2,CAR_closed_2_T42,Mollinedia schottiana,Mollinedia schottiana,1,T42,NA
CAR,closed,2,CAR_closed_2_T42,Ouratea parviflora,Ouratea parviflora,3,T42,NA
CAR,closed,2,CAR_closed_2_T42,Sloanea guianensis,Sloanea guianensis,3,T42,NA
CAR,closed,2,CAR_closed_2_T42,Strychnos trinervis,Strychnos trinervis,1,T42,NA
CAR,closed,2,CAR_closed_2_T42,Virola bicuhyba,Virola bicuhyba,1,T42,NA
CAR,closed,2,CAR_closed_2_T42,Virola gardneri,Virola gardneri,1,T42,NA
CAR,closed,2,CAR_closed_2_T48,Eugenia cuprea,Eugenia cuprea,1,T48,NA
CAR,closed,2,CAR_closed_2_T48,Euterpe edulis,Euterpe edulis,0,T48,NA
CAR,closed,2,CAR_closed_2_T48,Guapira opposita,Guapira opposita,0,T48,NA
CAR,closed,2,CAR_closed_2_T48,Inga edulis,Inga edulis,1,T48,NA
CAR,closed,2,CAR_closed_2_T48,Lacistema pubescens,Lacistema pubescens,1,T48,NA
CAR,closed,2,CAR_closed_2_T48,Marlierea obscura,Marlierea obscura,1,T48,NA
CAR,closed,2,CAR_closed_2_T48,Matayba guianensis,Matayba guianensis,1,T48,NA
CAR,closed,2,CAR_closed_2_T48,Maytenus robusta,Maytenus robusta,1,T48,NA
CAR,closed,2,CAR_closed_2_T48,Metrodorea nigra,Metrodorea nigra,0,T48,NA
CAR,closed,2,CAR_closed_2_T48,Mollinedia schottiana,Mollinedia schottiana,0,T48,NA
CAR,closed,2,CAR_closed_2_T48,Ouratea parviflora,Ouratea parviflora,3,T48,NA
CAR,closed,2,CAR_closed_2_T48,Sloanea guianensis,Sloanea guianensis,3,T48,NA
CAR,closed,2,CAR_closed_2_T48,Strychnos trinervis,Strychnos trinervis,1,T48,NA
CAR,closed,2,CAR_closed_2_T48,Virola bicuhyba,Virola bicuhyba,1,T48,NA
CAR,closed,2,CAR_closed_2_T48,Virola gardneri,Virola gardneri,1,T48,NA
CAR,closed,2,CAR_closed_2_T54,Eugenia cuprea,Eugenia cuprea,1,T54,NA
CAR,closed,2,CAR_closed_2_T54,Euterpe edulis,Euterpe edulis,0,T54,NA
CAR,closed,2,CAR_closed_2_T54,Guapira opposita,Guapira opposita,0,T54,NA
CAR,closed,2,CAR_closed_2_T54,Inga edulis,Inga edulis,1,T54,NA
CAR,closed,2,CAR_closed_2_T54,Lacistema pubescens,Lacistema pubescens,1,T54,NA
CAR,closed,2,CAR_closed_2_T54,Marlierea obscura,Marlierea obscura,1,T54,NA
CAR,closed,2,CAR_closed_2_T54,Matayba guianensis,Matayba guianensis,1,T54,NA
CAR,closed,2,CAR_closed_2_T54,Maytenus robusta,Maytenus robusta,1,T54,NA
CAR,closed,2,CAR_closed_2_T54,Metrodorea nigra,Metrodorea nigra,0,T54,NA
CAR,closed,2,CAR_closed_2_T54,Mollinedia schottiana,Mollinedia schottiana,1,T54,NA
CAR,closed,2,CAR_closed_2_T54,Ouratea parviflora,Ouratea parviflora,3,T54,NA
CAR,closed,2,CAR_closed_2_T54,Sloanea guianensis,Sloanea guianensis,2,T54,NA
CAR,closed,2,CAR_closed_2_T54,Strychnos trinervis,Strychnos trinervis,1,T54,NA
CAR,closed,2,CAR_closed_2_T54,Virola bicuhyba,Virola bicuhyba,1,T54,NA
CAR,closed,2,CAR_closed_2_T54,Virola gardneri,Virola gardneri,1,T54,NA
CAR,closed,2,CAR_closed_2_T6,Eugenia cuprea,Eugenia cuprea,1,T6,NA
CAR,closed,2,CAR_closed_2_T6,Euterpe edulis,Euterpe edulis,1,T6,NA
CAR,closed,2,CAR_closed_2_T6,Guapira opposita,Guapira opposita,1,T6,NA
CAR,closed,2,CAR_closed_2_T6,Inga edulis,Inga edulis,1,T6,NA
CAR,closed,2,CAR_closed_2_T6,Lacistema pubescens,Lacistema pubescens,1,T6,NA
CAR,closed,2,CAR_closed_2_T6,Marlierea obscura,Marlierea obscura,1,T6,NA
CAR,closed,2,CAR_closed_2_T6,Matayba guianensis,Matayba guianensis,1,T6,NA
CAR,closed,2,CAR_closed_2_T6,Maytenus robusta,Maytenus robusta,1,T6,NA
CAR,closed,2,CAR_closed_2_T6,Metrodorea nigra,Metrodorea nigra,1,T6,NA
CAR,closed,2,CAR_closed_2_T6,Mollinedia schottiana,Mollinedia schottiana,1,T6,NA
CAR,closed,2,CAR_closed_2_T6,Ouratea parviflora,Ouratea parviflora,2,T6,NA
CAR,closed,2,CAR_closed_2_T6,Sloanea guianensis,Sloanea guianensis,3,T6,NA
CAR,closed,2,CAR_closed_2_T6,Strychnos trinervis,Strychnos trinervis,0,T6,NA
CAR,closed,2,CAR_closed_2_T6,Virola bicuhyba,Virola bicuhyba,0,T6,NA
