Index,Site,Plot,Treatment,Individual,p0,p06,p12,p18,p24,p30,p36,p42,p48,p54,p60,p66,p72,p78,p84,p90,p96,Trecruit,Tdeath,Species,Family,Life_Form
13,CAR,1,open,C13,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,NA,NA,T36,T66,Indeterminate sp.,Indeterminate,indeterminate
14,CAR,1,open,C14,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,NA,NA,T36,T78,Inga sp.,Fabaceae,tree
15,CAR,1,open,C15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,NA,T36,T48,Mollinedia cf.,Monimiaceae,tree
16,CAR,1,open,C16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,T36,T42,Indeterminate sp.,Indeterminate,indeterminate
17,CAR,1,open,C18,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,NA,NA,T48,T72,Indeterminate sp.,Indeterminate,indeterminate
18,CAR,1,open,C19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,T48,T54,Indeterminate sp.,Indeterminate,indeterminate
19,CAR,1,open,C20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,T54,T60,Indeterminate sp.,Indeterminate,indeterminate
20,CAR,1,open,C21,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,NA,NA,T60,T78,Indeterminate sp.,Indeterminate,indeterminate
21,CAR,1,open,C22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,T78,alive,Indeterminate sp.,Indeterminate,indeterminate
22,CAR,1,open,D1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T12,Araceae sp.,Araceae,herb
23,CAR,1,open,D2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T6,Indeterminate sp.,Indeterminate,indeterminate
24,CAR,1,open,D3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T0,alive,Goeppertia sp.,Marantaceae,herb
25,CAR,1,open,D4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T0,alive,Goeppertia sp.,Marantaceae,herb
26,CAR,1,open,D5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,T30,T42,Indeterminate sp.,Indeterminate,indeterminate
27,CAR,1,open,D6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,T36,T42,Indeterminate sp.,Indeterminate,indeterminate
28,CAR,1,open,D7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,T36,T42,Acanthaceae sp.,Acanthaceae,herb
29,CAR,1,open,D8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,T42,T48,Indeterminate sp.,Indeterminate,indeterminate
30,CAR,1,open,D8',0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,NA,NA,T48,alive,Piper sp.,Piperaceae,herb
31,CAR,1,open,D9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,NA,T72,alive,Indeterminate sp.,Indeterminate,indeterminate
32,CAR,1,open,D10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,T78,alive,Mollinedia cf.,Monimiaceae,tree
33,CAR,1,open,D11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,T78,alive,Philodendron sp.,Araceae,herb
34,CAR,1,open,D12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,T78,alive,Casearia cf.,Salicaceae,tree
35,CAR,1,open,D13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,T84,alive,Psychotria sp.,Rubiaceae,indeterminate
36,CAR,1,open,H1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T12,Euterpe edulis,Arecaceae,palm
37,CAR,1,open,H2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,T0,T36,Euterpe edulis,Arecaceae,palm
38,CAR,1,open,H3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T30,Guarea macrophylla,Meliaceae,tree
39,CAR,1,open,H4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T6,Euterpe edulis,Arecaceae,palm
40,CAR,1,open,H5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T0,alive,Chionanthus filiformis,Oleaceae,tree
41,CAR,1,open,H6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T12,Araceae sp.,Araceae,herb
42,CAR,1,open,H7,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T30,Sloanea guianensis,Elaeocarpaceae,tree
43,CAR,1,open,H8,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,NA,NA,T0,T66,Eugenia sp.,Myrtaceae,tree
44,CAR,1,open,H9,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T30,Mollinedia schottiana,Monimiaceae,tree
45,CAR,1,open,H10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T12,Indeterminate sp.,Indeterminate,indeterminate
46,CAR,1,open,H11,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T24,alive,Goeppertia sp.,Marantaceae,herb
47,CAR,1,open,H12,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T24,alive,Goeppertia sp.,Marantaceae,herb
48,CAR,1,open,H13,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T24,alive,Guarea macrophylla,Meliaceae,tree
49,CAR,1,open,H14,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,NA,NA,T30,T72,Eugenia sp.,Myrtaceae,tree
50,CAR,1,open,H15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,T30,T36,Euterpe edulis,Arecaceae,palm
51,CAR,1,open,H16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,T30,T42,Euterpe edulis,Arecaceae,palm
52,CAR,1,open,H17,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,NA,NA,T48,alive,Goeppertia sp.,Marantaceae,herb
53,CAR,1,open,H18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,T60,alive,Indeterminate sp.,Indeterminate,indeterminate
54,CAR,1,open,H19,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,NA,NA,T66,alive,Mollinedia cf.,Monimiaceae,tree
55,CAR,1,open,H20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,T78,T84,Diploon cf.,Sapotaceae,tree
56,CAR,1,open,H21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,T78,alive,Guarea sp.,Meliaceae,tree
57,CAR,1,open,H22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,T78,alive,Guarea sp.,Meliaceae,tree
58,CAR,1,close,C1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T0,alive,Goeppertia sp.,Marantaceae,herb
59,CAR,1,close,C2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,T0,T36,Polypodiaceae sp.,Polypodiaceae,herb
60,CAR,1,close,C3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T0,alive,Guapira opposita,Nyctaginaceae,tree
61,CAR,1,close,C4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T6,Indeterminate sp.,Indeterminate,indeterminate
62,CAR,1,close,C5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T30,Indeterminate sp.,Indeterminate,indeterminate
63,CAR,1,close,C6,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,NA,NA,T18,T48,Euterpe edulis,Arecaceae,palm
64,CAR,1,close,C7,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,T18,T36,Euterpe edulis,Arecaceae,palm
65,CAR,1,close,C8,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,NA,NA,T18,T66,Euterpe edulis,Arecaceae,palm
66,CAR,1,close,C9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,T18,T30,Indeterminate sp.,Indeterminate,indeterminate
67,CAR,1,close,C10,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T24,alive,Philodendron sp.,Araceae,herb
68,CAR,1,close,C11,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,NA,NA,T30,T54,Euterpe edulis,Arecaceae,palm
69,CAR,1,close,C12,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,NA,NA,T30,alive,Eugenia sp.,Myrtaceae,tree
70,CAR,1,close,C13,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,NA,NA,T36,alive,Euterpe edulis,Arecaceae,palm
71,CAR,1,close,C14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,NA,NA,T48,T60,Euterpe edulis,Arecaceae,palm
72,CAR,1,close,C15,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,NA,NA,T48,T84,Euterpe edulis,Arecaceae,palm
73,CAR,1,close,C16,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,NA,NA,T48,alive,Myrsine sp.,Primulaceae,tree
74,CAR,1,close,C17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,T54,T60,Euterpe edulis,Arecaceae,palm
75,CAR,1,close,C18,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,NA,NA,T60,alive,Euterpe edulis,Arecaceae,palm
76,CAR,1,close,C19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,T60,T72,Paullinia sp.,Sapindaceae,liana
77,CAR,1,close,C20,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,NA,NA,T60,T78,Paullinia sp.,Sapindaceae,liana
78,CAR,1,close,C21,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,NA,NA,T60,T84,Mollinedia cf.,Monimiaceae,tree
79,CAR,1,close,C22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,T66,T72,Indeterminate sp.,Indeterminate,indeterminate
80,CAR,1,close,C23,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA,T72,T84,Indeterminate sp.,Indeterminate,indeterminate
81,CAR,1,close,C24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,NA,T72,alive,Doliocarpus cf.,Dilleniaceae,tree
82,CAR,1,close,D1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T6,Euterpe edulis,Arecaceae,palm
83,CAR,1,close,D2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T6,Araceae sp.,Araceae,herb
84,CAR,1,close,D3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T6,Araceae sp.,Araceae,herb
85,CAR,1,close,D4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T12,Apocynaceae sp.,Apocynaceae,liana
86,CAR,1,close,D5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T30,Gomidesia spectabilis,Myrtaceae,tree
87,CAR,1,close,D6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T6,T12,Indeterminate sp.,Indeterminate,indeterminate
88,CAR,1,close,D7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,T18,T30,Indeterminate sp.,Indeterminate,indeterminate
89,CAR,1,close,D8,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,T18,T84,Euterpe edulis,Arecaceae,palm
90,CAR,1,close,D9,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,T18,T36,Euterpe edulis,Arecaceae,palm
91,CAR,1,close,D10,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T24,alive,Euterpe edulis,Arecaceae,palm
92,CAR,1,close,D11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,T24,T30,Euterpe edulis,Arecaceae,palm
93,CAR,1,close,D12,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T24,alive,Astrocaryum aculeatissimum,Arecaceae,palm
94,CAR,1,close,D13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,T24,T30,Euterpe edulis,Arecaceae,palm
95,CAR,1,close,D14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,T30,T36,Indeterminate sp.,Indeterminate,indeterminate
96,CAR,1,close,D15,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,NA,NA,T36,T66,Eugenia cf.,Myrtaceae,tree
97,CAR,1,close,D16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,T42,T48,Indeterminate sp.,Indeterminate,indeterminate
98,CAR,1,close,D17,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,NA,NA,T48,alive,Euterpe edulis,Arecaceae,palm
99,CAR,1,close,D18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,T48,T54,Euterpe edulis,Arecaceae,palm
100,CAR,1,close,D19,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,NA,NA,T54,T72,Indeterminate sp.,Indeterminate,liana
101,CAR,1,close,D20,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,NA,NA,T60,alive,Paullinia sp.,Sapindaceae,liana
102,CAR,1,close,D21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA,T72,T84,Myrtaceae cf.,Myrtaceae cf.,indeterminate
103,CAR,1,close,H1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T18,Euterpe edulis,Arecaceae,palm
104,CAR,1,close,H2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T6,Araceae sp.,Araceae,herb
105,CAR,1,close,H3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T30,Araceae sp.,Araceae,herb
106,CAR,1,close,H4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T0,alive,Eugenia cuprea,Myrtaceae,tree
107,CAR,1,close,H5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T0,alive,Marlierea tomentosa,Myrtaceae,tree
108,CAR,1,close,H6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T0,alive,Sloanea guianensis,Elaeocarpaceae,tree
109,CAR,1,close,H7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T0,alive,Mollinedia schottiana,Monimiaceae,tree
110,CAR,1,close,H8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T0,alive,Philodendron sp.,Araceae,herb
111,CAR,1,close,H9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T0,alive,Chionanthus filiformis,Oleaceae,tree
112,CAR,1,close,H10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T12,Araceae sp.,Araceae,herb
113,CAR,1,close,H11,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T30,Indeterminate sp.,Indeterminate,indeterminate
114,CAR,1,close,H12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T12,Indeterminate sp.,Indeterminate,indeterminate
115,CAR,1,close,H13,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,NA,NA,T18,T54,Philodendron sp.,Araceae,herb
116,CAR,1,close,H14,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,T18,T36,Euterpe edulis,Arecaceae,palm
117,CAR,1,close,H15,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,NA,NA,T18,T42,Euterpe edulis,Arecaceae,palm
118,CAR,1,close,H16,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,NA,NA,T18,T66,Euterpe edulis,Arecaceae,palm
119,CAR,1,close,H17,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,T18,T36,Euterpe edulis,Arecaceae,palm
120,CAR,1,close,H18,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,NA,NA,T18,T42,Euterpe edulis,Arecaceae,palm
121,CAR,1,close,H19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,T24,T30,Euterpe edulis,Arecaceae,palm
122,CAR,1,close,H20,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T24,alive,Ocotea cf.,Lauraceae,tree
123,CAR,1,close,H21,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA,NA,T24,T48,Euterpe edulis,Arecaceae,palm
124,CAR,1,close,H23,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NA,NA,T24,T42,Mollinedia schottiana,Monimiaceae,tree
125,CAR,1,close,H24,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,NA,NA,T24,T66,Mollinedia schottiana,Monimiaceae,tree
126,CAR,1,close,H25,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NA,NA,T24,T42,Euterpe edulis,Arecaceae,palm
127,CAR,1,close,H26,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T24,alive,Euterpe edulis,Arecaceae,palm
128,CAR,1,close,H27,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T24,alive,Philodendron sp.,Araceae,herb
129,CAR,1,close,H28,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,NA,NA,T30,T66,Euterpe edulis,Arecaceae,palm
130,CAR,1,close,H29,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NA,NA,T42,T54,Indeterminate sp.,Indeterminate,indeterminate
131,CAR,1,close,H31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,T48,T54,Euterpe edulis,Arecaceae,palm
132,CAR,1,close,H32,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,NA,NA,T54,T78,Paullinia/Serjania sp.,Sapindaceae,liana
133,CAR,1,close,H33,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,NA,NA,T54,alive,Mollinedia cf.,Monimiaceae,tree
134,CAR,1,close,H34,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,NA,NA,T54,alive,Psychotria cf.,Rubiaceae,indeterminate
135,CAR,1,close,H35,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,NA,NA,T54,alive,Indeterminate sp.,Indeterminate,indeterminate
136,CAR,1,close,H36,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,NA,NA,T60,alive,Rubiaceae cf.,Rubiaceae cf.,indeterminate
137,CAR,1,close,H37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,T66,T72,Indeterminate sp.,Indeterminate,indeterminate
138,CAR,1,close,H38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,T84,alive,Mollinedia cf.,Monimiaceae,tree
139,CAR,2,open,C1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T12,Eugenia cuprea,Myrtaceae,tree
140,CAR,2,open,C2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,T0,T36,Euterpe edulis,Arecaceae,palm
141,CAR,2,open,C3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T6,Guatteria australis,Annonaceae,tree
142,CAR,2,open,C4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T12,Rubiaceae sp. 1,Rubiaceae,indeterminate
143,CAR,2,open,C5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,T0,T36,Rubiaceae sp. 1,Rubiaceae,indeterminate
144,CAR,2,open,C6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T12,Rubiaceae sp. 1,Rubiaceae,indeterminate
145,CAR,2,open,C7,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,NA,NA,T0,T42,Strychnos trinervis,Loganiaceae,liana
146,CAR,2,open,C8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T6,Indeterminate sp.,Indeterminate,indeterminate
147,CAR,2,open,C9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T24,Rubiaceae sp. 1,Rubiaceae,indeterminate
148,CAR,2,open,C10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T24,Rubiaceae sp. 1,Rubiaceae,indeterminate
149,CAR,2,open,C11,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,NA,NA,T0,T60,Piper sp.,Piperaceae,herb
150,CAR,2,open,C12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T0,alive,Psychotria nuda,Rubiaceae,tree
151,CAR,2,open,C13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T0,alive,Psychotria nuda,Rubiaceae,tree
152,CAR,2,open,C14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T12,Rubiaceae sp. 1,Rubiaceae,indeterminate
153,CAR,2,open,C15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T0,alive,Psychotria nuda,Rubiaceae,tree
154,CAR,2,open,C16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T6,Matayba guianensis,Sapindaceae,tree
155,CAR,2,open,C17,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,NA,NA,T0,T54,Psychotria nuda,Rubiaceae,tree
156,CAR,2,open,C18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T0,alive,Psychotria nuda,Rubiaceae,tree
157,CAR,2,open,C19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T6,Rubiaceae sp. 1,Rubiaceae,indeterminate
158,CAR,2,open,C20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T0,alive,Psychotria nuda,Rubiaceae,tree
159,CAR,2,open,C21,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,T0,T36,Gomidesia spectabilis,Myrtaceae,tree
160,CAR,2,open,C22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T12,Rubiaceae sp. 1,Rubiaceae,indeterminate
161,CAR,2,open,C23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T12,Gomidesia spectabilis,Myrtaceae,tree
162,CAR,2,open,C24,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,T0,T36,Psychotria nuda,Rubiaceae,tree
163,CAR,2,open,C25,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T24,Rubiaceae sp. 1,Rubiaceae,indeterminate
164,CAR,2,open,C26,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,NA,NA,T0,T78,Ouratea parviflora,Ochnaceae,tree
165,CAR,2,open,C27,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,NA,NA,T0,alive,Chionanthus filiformis,Oleaceae,tree
166,CAR,2,open,C28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T12,Rubiaceae sp. 1,Rubiaceae,indeterminate
167,CAR,2,open,C29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T12,Rubiaceae sp. 1,Rubiaceae,indeterminate
168,CAR,2,open,C30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T12,Rubiaceae sp. 1,Rubiaceae,indeterminate
169,CAR,2,open,C31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,T0,T12,Rubiaceae sp. 1,Rubiaceae,indeterminate
170,CAR,2,open,C32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T0,alive,Sloanea guianensis,Elaeocarpaceae,tree
171,CAR,2,open,C33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,T0,T84,Psychotria nuda ,Rubiaceae,tree
172,CAR,2,open,C34,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,T18,T36,Indeterminate sp.,Indeterminate,indeterminate
173,CAR,2,open,C35,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T24,alive,Mollinedia schottiana,Monimiaceae,tree
174,CAR,2,open,C36,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA,NA,T24,T48,Eugenia sp.,Myrtaceae,tree
175,CAR,2,open,C37,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,NA,NA,T24,T78,Myrtaceae sp.,Myrtaceae,tree
176,CAR,2,open,C38,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,NA,NA,T24,T72,Eugenia sp.,Myrtaceae,tree
177,CAR,2,open,C39,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,NA,NA,T24,alive,Piper sp.,Piperaceae,herb
178,CAR,2,open,C40,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA,NA,T30,T48,Euterpe edulis,Arecaceae,palm
179,CAR,2,open,C41,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,NA,NA,T30,alive,Euterpe edulis,Arecaceae,palm
180,CAR,2,open,C42,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,NA,T36,T48,Rubiaceae sp.,Rubiaceae,indeterminate
181,CAR,2,open,C43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,T42,T48,Fabaceae sp.,Fabaceae,indeterminate
